Real_NO2,Real_NOx,Real_O3
7.65,8.59,29.06
9.64,10.9,28.04
14.94,17.71,24.87
20.22,26.32,19.96
19.73,28.17,20.14
18.0,25.99,20.31
16.21,23.41,20.49
15.5,20.96,20.66
15.62,21.86,20.84
13.71,19.7,21.41
13.84,19.54,20.88
15.57,21.98,20.97
13.09,18.17,24.39
11.96,15.97,25.82
11.91,15.53,25.45
15.34,20.64,25.21
16.42,17.73,33.55
17.63,23.43,32.21
14.38,17.05,32.91
18.33,23.28,29.42
18.65,23.03,27.26
16.71,20.78,20.12
16.25,19.7,17.28
16.78,21.19,8.08
15.38,21.84,0.0
20.64,22.46,0.0
19.14,20.62,0.0
18.0,18.52,0.0
18.2,18.89,0.0
20.73,21.49,0.0
26.17,27.12,0.0
25.67,26.84,0.0
23.41,24.42,0.86
21.26,22.12,2.49
19.72,20.4,6.87
16.84,19.01,11.16
16.12,16.53,14.73
14.56,15.36,15.19
7.71,7.77,18.09
7.5,7.79,20.99
7.83,8.16,22.43
7.13,7.54,24.91
7.16,7.54,25.35
8.46,8.54,21.53
8.02,8.21,24.7
7.57,7.88,27.88
8.66,9.18,26.46
10.19,11.44,25.17
14.65,16.37,21.19
25.22,34.26,10.16
30.19,42.67,6.45
34.13,65.07,4.31
37.51,70.32,8.24
32.42,66.71,12.18
27.01,47.6,16.11
18.93,29.94,20.05
16.26,24.86,23.98
16.74,23.07,27.92
16.35,22.94,31.85
10.23,15.53,41.61
7.73,11.59,47.32
9.66,13.31,44.98
7.1,9.49,54.2
8.53,10.92,53.48
9.14,11.86,53.96
13.14,17.08,51.15
14.38,17.05,47.82
18.33,16.97,41.99
18.65,23.03,21.79
