Recorded,NO2,NOx,heat_index,rh,pressure,wdir,wdir_cardinal,wspd,station_id
2019-12-08 21:30:00,8.74,10.69,6.0,87.0,980.65,220.0,SW,28.0,Gade
2019-12-08 22:00:00,9.37,12.55,6.0,87.0,980.65,230.0,SW,31.0,Gade
2019-12-08 22:30:00,13.27,15.41,6.0,87.0,980.65,220.0,SW,26.0,Gade
2019-12-08 23:00:00,6.06,6.81,6.0,87.0,980.65,230.0,SW,31.0,Gade
2019-12-08 23:30:00,5.43,6.35,6.0,93.0,980.65,230.0,SW,26.0,Gade
2019-12-09 00:00:00,3.61,3.42,6.0,93.0,980.65,220.0,SW,22.0,Gade
2019-12-09 00:30:00,6.75,8.41,5.0,93.0,980.65,240.0,WSW,30.0,Gade
2019-12-09 01:00:00,10.31,11.86,6.0,93.0,980.65,220.0,SW,30.0,Gade
2019-12-09 01:30:00,6.69,6.92,5.0,93.0,980.65,230.0,SW,31.0,Gade
2019-12-09 02:00:00,6.27,6.1,5.0,100.0,980.65,230.0,SW,28.0,Gade
2019-12-09 02:30:00,5.83,5.53,6.0,93.0,980.65,220.0,SW,17.0,Gade
2019-12-09 03:00:00,7.31,7.84,5.0,93.0,980.65,210.0,SSW,19.0,Gade
2019-12-09 03:30:00,6.04,6.01,6.0,87.0,980.65,210.0,SSW,30.0,Gade
2019-12-09 04:00:00,5.3,5.51,6.0,87.0,980.65,210.0,SSW,26.0,Gade
2019-12-09 04:30:00,5.85,6.22,6.0,87.0,980.65,210.0,SSW,28.0,Gade
2019-12-09 05:00:00,,,6.0,87.0,981.65,220.0,SW,31.0,Gade
2019-12-09 05:30:00,12.22,17.31,6.0,87.0,981.65,210.0,SSW,24.0,Gade
2019-12-09 06:00:00,15.09,122.67,6.0,87.0,981.65,220.0,SW,30.0,Gade
2019-12-09 06:30:00,25.38,40.93,5.0,93.0,981.65,210.0,SSW,30.0,Gade
2019-12-09 07:00:00,30.68,47.66,5.0,93.0,981.65,210.0,SSW,30.0,Gade
2019-12-09 07:30:00,33.81,55.62,6.0,87.0,981.65,210.0,SSW,30.0,Gade
2019-12-09 08:00:00,33.14,60.63,5.0,93.0,981.65,210.0,SSW,24.0,Gade
2019-12-09 08:30:00,32.78,80.38,5.0,93.0,981.65,210.0,SSW,28.0,Gade
2019-12-09 09:00:00,29.77,55.84,5.0,93.0,981.65,210.0,SSW,31.0,Gade
2019-12-09 09:30:00,27.2,46.91,5.0,93.0,981.65,220.0,SW,30.0,Gade
2019-12-09 10:00:00,18.3,32.47,5.0,93.0,981.65,210.0,SSW,26.0,Gade
2019-12-09 10:30:00,18.99,28.27,6.0,93.0,981.65,210.0,SSW,31.0,Gade
2019-12-09 11:00:00,14.15,19.89,6.0,93.0,982.65,210.0,SSW,30.0,Gade
2019-12-09 11:30:00,11.21,17.56,6.0,93.0,982.65,230.0,SW,31.0,Gade
2019-12-09 12:00:00,8.74,14.19,6.0,93.0,982.65,230.0,SW,31.0,Gade
2019-12-09 12:30:00,7.82,13.71,6.0,93.0,983.65,240.0,WSW,31.0,Gade
2019-12-09 13:00:00,6.83,10.27,7.0,81.0,982.65,260.0,W,33.0,Gade
2019-12-09 13:30:00,8.55,13.16,6.0,87.0,983.65,260.0,W,37.0,Gade
2019-12-09 14:00:00,9.45,15.74,7.0,71.0,983.65,260.0,W,39.0,Gade
2019-12-09 14:30:00,12.18,20.88,7.0,76.0,983.65,270.0,W,41.0,Gade
2019-12-09 15:00:00,16.16,29.43,7.0,71.0,983.65,270.0,W,39.0,Gade
2019-12-09 15:30:00,16.81,30.5,7.0,71.0,984.65,270.0,W,37.0,Gade
2019-12-09 16:00:00,13.88,23.2,7.0,71.0,984.65,290.0,WNW,33.0,Gade
2019-12-09 16:30:00,11.61,19.93,7.0,71.0,985.65,290.0,WNW,37.0,Gade
2019-12-09 17:00:00,11.34,19.62,4.0,93.0,987.65,330.0,NNW,30.0,Gade
2019-12-09 17:30:00,10.79,18.57,4.0,87.0,988.65,340.0,NNW,26.0,Gade
2019-12-09 18:00:00,13.54,21.25,3.0,93.0,990.65,330.0,NNW,30.0,Gade
2019-12-09 18:30:00,12.43,17.75,3.0,87.0,992.65,340.0,NNW,31.0,Gade
2019-12-09 19:00:00,8.8,13.54,3.0,87.0,993.65,350.0,N,30.0,Gade
2019-12-09 19:30:00,10.75,17.21,3.0,87.0,995.65,350.0,N,20.0,Gade
2019-12-09 20:00:00,11.09,16.37,4.0,70.0,996.65,340.0,NNW,19.0,Gade
2019-12-09 20:30:00,8.15,10.56,4.0,70.0,997.65,340.0,NNW,22.0,Gade
2019-12-09 21:00:00,8.19,11.25,4.0,65.0,998.65,340.0,NNW,24.0,Gade
2019-12-09 21:30:00,7.31,10.21,4.0,61.0,999.64,340.0,NNW,17.0,Gade
2019-12-09 22:00:00,11.57,16.47,5.0,57.0,1000.64,340.0,NNW,19.0,Gade
2019-12-09 22:30:00,8.24,11.38,4.0,61.0,1002.64,340.0,NNW,17.0,Gade
