,NO2,NOX
852,8.26,14.52
853,12.47,21.19
854,12.03,23.85
855,16.05,33.97
856,31.87,60.63
857,34.33,73.02
858,27.2,59.56
859,33.71,70.86
860,28.67,68.33
861,22.8,50.28
862,22.45,51.79
863,31.12,73.34
864,34.4,81.3
865,31.63,79.9
866,35.12,84.15
867,34.5,70.38
868,38.35,92.91
869,38.44,83.65
870,33.23,63.63
871,37.58,82.35
872,29.76,47.47
873,34.14,71.13
874,34.82,76.48
875,29.51,59.84
876,27.46,57.67
877,30.36,56.55
878,28.31,54.59
879,26.44,50.0
880,28.31,54.39
881,26.24,47.71
882,25.34,52.53
883,22.5,45.23
884,21.14,47.02
885,19.3,33.96
886,15.03,23.57
887,9.6,12.14
888,9.7,14.46
889,7.78,12.16
890,11.49,19.42
891,12.25,21.86
892,13.9,18.82
893,15.11,18.78
894,22.77,56.36
895,34.87,73.06
896,35.04,91.69
897,41.92,122.67
898,41.65,145.72
899,43.24,114.84
900,44.16,95.49
901,32.35,54.83
902,37.98,118.78
903,32.36,71.85
904,21.9,33.14
905,33.87,55.92
906,29.84,47.97
907,20.33,36.76
908,21.04,33.6
909,16.45,28.94
910,12.68,19.58
911,13.27,21.84
912,16.94,26.68
913,20.94,34.69
914,15.64,23.14
915,12.53,17.6
916,13.31,21.23
917,10.16,15.3
918,8.47,11.55
919,8.15,12.22
920,8.57,11.11
921,9.85,13.16
922,6.71,6.88
923,6.16,6.96
924,6.06,7.69
925,6.12,6.79
926,7.21,7.92
927,7.65,7.46
928,10.25,11.63
929,6.98,7.25
930,5.49,5.18
931,5.74,5.22
932,4.46,3.4
933,4.32,3.58
934,2.93,1.74
935,3.65,1.86
936,5.87,3.56
937,3.88,1.74
938,4.95,3.1
939,3.27,1.59
940,3.25,1.13
941,4.25,2.62
942,7.69,10.71
943,18.82,23.45
944,25.65,51.89
945,41.65,65.18
946,43.24,114.84
947,39.31,74.95
948,25.61,39.65
949,19.76,26.53
950,20.06,27.46
951,17.37,23.94
952,19.93,31.82
953,17.1,25.61
954,16.72,25.95
955,12.81,18.99
956,16.26,22.93
957,16.05,25.59
958,16.1,25.99
959,15.3,23.39
960,15.15,24.23
961,13.73,21.13
962,15.17,23.96
963,16.1,23.54
964,15.53,23.58
965,13.94,19.28
966,18.28,23.96
967,15.61,23.01
968,15.49,22.55
969,9.89,14.99
970,9.96,14.71
971,7.88,11.11
972,4.32,6.39
973,13.81,20.25
974,7.21,10.79
975,5.53,7.78
976,5.22,8.3
977,3.63,5.18
978,3.56,4.49
979,2.58,3.56
980,1.59,1.47
981,2.37,2.39
982,1.72,0.5
983,1.63,0.78
984,1.51,0.33
985,1.61,1.91
986,2.6,1.66
987,2.64,2.51
988,3.04,2.24
989,2.07,1.55
990,3.37,3.16
991,2.77,2.89
992,9.56,15.89
993,9.62,14.96
994,10.23,17.56
995,11.55,18.32
996,11.11,17.25
997,8.55,14.86
998,10.19,16.93
999,12.05,21.06
1000,10.4,16.96
1001,8.76,15.07
1002,9.96,18.17
1003,9.14,16.06
1004,8.4,14.08
1005,8.63,14.52
1006,9.37,15.85
1007,9.2,15.3
1008,11.76,21.04
1009,12.66,21.57
1010,11.26,19.51
1011,11.32,18.23
1012,12.78,19.74
1013,11.07,17.33
1014,11.57,18.49
1015,14.23,23.6
1016,12.09,19.95
1017,11.48,18.13
1018,8.47,13.0
1019,9.77,15.17
1020,9.58,17.29
1021,9.98,15.13
1022,8.41,16.64
1023,7.38,11.4
1024,8.7,13.2
1025,6.41,10.44
1026,5.07,7.38
1027,3.29,5.03
1028,3.02,6.04
1029,1.47,2.2
1030,1.64,2.3
1031,1.84,2.08
1032,1.53,2.24
1033,1.93,2.91
1034,4.07,5.41
1035,5.03,6.75
1036,4.88,7.59
1037,11.3,17.04
1038,20.71,29.36
1039,22.15,35.55
1040,29.87,55.23
1041,36.49,76.96
1042,37.98,71.32
1043,37.98,78.8
1044,32.36,71.28
1045,29.17,55.94
1046,21.99,41.6
1047,23.98,43.28
1048,19.47,35.3
1049,25.32,49.9
1050,19.58,35.23
1051,18.32,33.05
1052,14.0,23.56
1053,11.9,19.45
1054,11.11,20.14
1055,13.83,24.67
1056,17.1,29.47
1057,17.44,30.56
1058,21.13,32.23
1059,29.99,48.71
1060,16.93,26.72
1061,18.42,31.08
1062,20.52,32.76
1063,18.26,25.24
1064,24.82,37.18
1065,12.87,17.9
1066,13.39,20.77
1067,16.54,25.21
1068,21.9,43.2
1069,25.46,37.98
1070,25.34,45.96
1071,22.5,31.92
1072,17.0,24.31
1073,19.3,33.96
1074,15.03,28.56
1075,14.77,29.42
1076,13.98,23.66
1077,12.62,23.14
1078,10.98,17.97
1079,11.93,15.09
1080,13.03,16.75
1081,19.64,25.59
1082,22.77,35.67
1083,28.05,48.1
1084,14.34,25.49
1085,41.65,145.72
1086,43.24,114.84
1087,44.16,190.5
1088,39.46,124.29
1089,37.98,118.78
1090,32.36,100.41
1091,34.33,102.14
1092,33.87,106.38
1093,33.71,87.32
1094,34.18,84.91
1095,38.21,96.24
1096,31.04,87.48
1097,33.87,83.42
