,NO2,NOX,O3
476,6.089987,7.3248806,65.41487
477,6.0384274,7.2072573,66.07829
478,5.936165,7.084556,66.16847
479,5.835469,6.977594,66.52998
480,7.856772,8.973535,55.767918
481,7.581406,8.766186,56.19779
482,7.3818345,8.464129,56.58477
483,7.098189,8.182884,57.207005
484,6.842266,7.8869085,57.758263
485,6.610073,7.5995297,58.3697
486,6.3972416,7.4327164,58.856117
487,6.222814,7.207359,59.25575
488,6.0744753,7.053772,59.71963
489,5.9773736,6.9554825,60.392593
490,5.9273095,6.8545747,60.55454
491,5.8918233,6.8174067,60.82155
492,5.86137,6.863793,60.927994
493,5.958771,6.907858,61.196884
494,6.0185394,6.9961605,61.28889
495,6.1235805,7.0557637,61.411777
496,6.199288,7.1941037,61.498737
497,6.2924805,7.291484,61.64334
498,6.3551397,7.450575,61.71521
499,6.4124136,7.4845862,61.81329
500,6.4700403,7.655759,62.110435
501,6.6015205,7.703,62.05834
502,6.6180367,7.7144327,62.546234
503,6.597328,7.8249693,62.438873
504,6.6463704,7.7886844,62.60091
505,6.6548204,7.77271,62.62595
506,6.5965567,7.7766695,62.7747
507,6.5368114,7.7267265,62.976303
508,6.5137725,7.6544704,62.8355
509,6.512232,7.630416,62.981277
510,6.4241395,7.571157,63.073128
511,6.3456454,7.4587903,63.122593
512,6.287423,7.338209,63.149002
513,6.183152,7.2173567,63.201004
514,6.116933,7.0953774,63.31532
515,6.015893,6.9510446,63.111366
516,5.9407706,6.8642416,62.867584
517,5.929034,6.7483363,62.913967
518,5.932921,6.735221,62.870815
519,5.9777937,6.719432,62.58039
520,5.9611387,6.689493,62.166443
521,6.0323653,6.7300854,61.913994
522,6.041191,6.7915564,61.779552
523,6.0838814,6.82339,61.252335
524,6.1851454,6.875222,61.316418
525,6.201745,6.960887,60.70321
526,6.30195,7.010066,60.73411
527,6.292299,7.085008,60.645916
528,13.288063,16.490032,37.786285
529,13.132013,16.099468,38.742386
530,12.810772,15.805592,38.622074
531,12.773373,15.53641,38.82601
532,12.535266,15.221195,39.306267
533,12.49198,14.901499,39.620575
534,12.277711,14.820385,39.946873
535,12.229527,14.300845,40.484776
536,12.081481,14.375908,40.390472
537,11.962305,13.902528,39.910748
538,11.788284,13.996883,39.884872
539,11.866542,13.934027,39.93233
540,11.885853,13.776058,39.71983
541,11.955088,13.563614,38.5536
542,11.823041,13.47003,38.380333
543,11.722818,13.133781,38.248947
544,11.498228,13.144373,37.659386
545,11.295218,12.726456,38.219307
546,10.956485,12.429164,37.63228
547,10.788824,11.821302,37.69336
548,10.352324,11.529198,38.008484
549,10.012182,11.006888,38.377586
550,9.720958,10.574402,38.108444
551,9.352855,10.152446,38.52659
552,8.905498,9.766313,38.550255
553,8.6887045,9.420765,39.065353
554,8.341322,8.886434,39.493954
555,8.073567,8.56775,39.536755
556,7.922799,8.3713,39.689632
557,7.677942,8.328993,39.91084
558,7.635737,8.14941,40.14722
559,7.5794067,7.9749303,40.553448
560,7.60653,8.118337,40.33229
561,7.57961,8.22465,40.477043
562,7.6431866,8.359049,40.487144
563,7.8065414,8.526871,41.01004
564,8.068602,8.945263,40.97042
565,8.455939,9.339191,40.65439
566,8.705473,9.906403,40.710526
567,9.105608,10.314046,40.39173
568,9.503298,10.782221,40.571205
569,9.991446,11.453464,40.45579
570,10.247068,11.812185,40.389633
571,10.594168,12.3342905,40.681477
572,10.799044,12.817083,40.891163
573,10.955334,12.961697,41.119637
574,11.003223,13.334644,41.641327
575,11.12105,13.496038,42.05916
576,8.300045,10.172064,62.19401
577,8.2394085,9.965836,62.486027
578,8.122825,9.801315,62.25479
579,8.036272,9.650432,62.374245
580,7.97963,9.463741,62.157047
581,7.9492106,9.331113,61.80766
582,7.871705,9.264028,61.669025
583,7.850893,9.102888,61.522587
584,7.8277717,9.038085,61.056877
585,7.7770543,8.905466,60.70998
586,7.714712,8.8370905,60.4473
587,7.71323,8.745209,60.21827
588,7.6000423,8.675046,59.818405
589,7.595099,8.469546,59.35937
590,7.4856753,8.427011,59.16443
591,7.394654,8.228963,58.987053
592,7.223886,8.171347,58.689114
593,7.0945086,7.933537,58.62268
594,7.0303226,7.838062,58.399544
595,6.899981,7.672603,58.374115
596,6.825122,7.539095,58.215683
597,6.7455125,7.4624577,58.13036
598,6.6014876,7.349078,58.116516
599,6.558054,7.342897,58.09084
600,6.5196056,7.3034816,57.873028
601,6.530164,7.3259563,57.81971
602,6.5640507,7.3508654,57.86513
603,6.597215,7.3573813,57.770103
604,6.6402144,7.52664,57.81296
605,6.759427,7.6781225,57.8648
606,6.8561325,7.9044924,57.79757
607,7.033263,8.046299,57.75273
608,7.1365566,8.271756,57.852604
609,7.278075,8.493097,57.90399
610,7.4230876,8.782092,57.9327
611,7.559341,9.028408,58.18095
612,7.6830297,9.172683,58.268024
613,7.8115525,9.372233,58.5225
614,7.9199834,9.561947,58.757126
615,8.104036,9.7274685,59.001404
616,8.155663,9.82453,59.441654
617,8.248492,10.005701,59.71131
618,8.225138,9.993254,60.065243
619,8.2062,10.02998,60.657032
620,8.193321,9.930567,60.908466
621,8.1788,9.827965,61.34888
622,8.062134,9.81292,61.6977
623,7.986461,9.65695,61.991817
624,12.262168,15.020561,43.568947
625,12.0313225,14.668671,44.504326
626,11.713194,14.343714,44.73172
627,11.588061,14.07448,45.21939
628,11.33635,13.739567,45.90392
629,11.235497,13.44659,46.46352
630,11.010487,13.362547,47.003803
631,10.937834,12.90263,47.662846
632,10.787918,12.926081,47.846718
633,10.68592,12.581315,47.83942
634,10.568869,12.597605,48.01411
635,10.635982,12.55772,48.25231
636,10.655719,12.484671,48.202408
637,10.752187,12.348713,47.389748
638,10.681803,12.287025,47.394337
639,10.648753,12.083218,47.410767
640,10.496675,12.132,46.997856
641,10.373837,11.826508,47.42474
642,10.160888,11.644904,47.10347
643,10.051499,11.192837,47.169884
644,9.740941,10.997073,47.49038
645,9.508447,10.624862,47.69279
646,9.252308,10.242696,47.543674
647,8.972071,9.919439,47.768425
648,8.611517,9.58857,47.71042
649,8.407881,9.271688,48.115425
650,8.106634,8.806873,48.414425
651,7.845187,8.470177,48.43109
652,7.6847606,8.2236805,48.46601
653,7.450799,8.103556,48.543804
654,7.348704,7.902385,48.66117
655,7.252073,7.683437,48.787655
656,7.222658,7.683762,48.544838
657,7.1340966,7.682427,48.50858
658,7.1746054,7.741077,48.30607
659,7.2602305,7.8383613,48.534
660,7.454172,8.122076,48.240055
661,7.7516637,8.400529,47.84927
662,7.9510937,8.868975,47.719147
663,8.327346,9.203201,47.23922
664,8.631911,9.6270895,47.107723
665,9.081199,10.201288,46.825977
666,9.329812,10.557134,46.610737
667,9.651764,11.029862,46.63064
668,9.873226,11.486929,46.722916
669,10.046686,11.706792,46.67815
670,10.132687,12.060354,47.061897
671,10.233179,12.269043,47.511784
672,14.597828,17.89721,29.026611
673,14.356344,17.354286,30.022099
674,13.907408,17.000498,29.997004
675,13.834467,16.628963,30.166677
676,13.504754,16.250843,30.77194
677,13.413893,15.840654,31.134096
678,13.135014,15.77706,31.5259
679,13.078483,15.252808,32.378345
680,12.842354,15.337997,32.51303
681,12.714309,14.812134,32.117027
682,12.457729,14.897825,32.39838
683,12.478157,14.811297,32.81018
684,12.477357,14.613144,32.98791
685,12.430254,14.279291,32.198204
686,12.265284,14.1500435,32.451115
687,12.131123,13.756883,32.731373
688,11.851407,13.782694,32.453728
689,11.626913,13.313524,33.54691
690,11.270957,13.024302,33.20965
691,11.0670185,12.398022,33.480316
692,10.623455,12.084952,34.113335
693,10.298338,11.545168,34.851593
694,10.076377,11.207098,34.780724
695,9.715961,10.804921,35.405838
696,9.334277,10.516834,35.523907
697,9.203146,10.26124,36.127274
698,8.923674,9.756524,36.64317
699,8.73885,9.560589,36.653435
700,8.660658,9.472828,36.72128
701,8.492843,9.536019,36.972702
702,8.514761,9.395208,37.101624
703,8.478658,9.26747,37.59931
704,8.551636,9.379239,37.199272
705,8.527448,9.526008,37.22073
706,8.545118,9.585181,37.18032
707,8.679931,9.700021,37.797016
708,8.948357,10.132298,37.596375
709,9.276051,10.460226,37.09401
710,9.520501,10.936165,37.113617
711,9.871691,11.303323,36.598976
712,10.206296,11.623489,36.66649
713,10.640341,12.253713,36.433258
714,10.848825,12.464692,36.22341
