Recorded,NO2,NOx
02-02-2022 11:00:00,22.62,41.86
02-02-2022 10:30:00,30.94,53.82
02-02-2022 10:00:00,25.47,43.28
02-02-2022 09:30:00,25.84,43.07
02-02-2022 09:00:00,17.63,27.92
02-02-2022 08:30:00,26.74,42.74
02-02-2022 08:00:00,23.91,39.28
02-02-2022 07:30:00,28.96,50.36
02-02-2022 07:00:00,20.46,42.67
02-02-2022 06:30:00,16.49,27.27
02-02-2022 05:30:00,19.28,29.95
02-02-2022 05:00:00,10.48,14.69
02-02-2022 04:30:00,6.73,7.48
02-02-2022 04:00:00,4.04,3.0
02-02-2022 03:30:00,2.2,1.34
02-02-2022 03:00:00,1.78,1.17
02-02-2022 02:30:00,2.14,1.86
02-02-2022 02:00:00,1.55,0.77
02-02-2022 01:30:00,2.37,2.56
02-02-2022 01:00:00,3.94,4.15
02-02-2022 00:30:00,2.49,3.17
02-02-2022 00:00:00,1.95,2.31
01-02-2022 23:30:00,3.86,4.63
01-02-2022 23:00:00,4.65,7.25
01-02-2022 22:30:00,5.55,7.0
01-02-2022 22:00:00,6.71,8.91
01-02-2022 21:30:00,8.84,10.86
01-02-2022 21:00:00,15.11,21.32
01-02-2022 20:30:00,13.67,18.25
01-02-2022 20:00:00,12.16,17.14
01-02-2022 19:30:00,11.11,13.92
01-02-2022 19:00:00,13.5,18.95
01-02-2022 18:30:00,14.71,20.6
01-02-2022 18:00:00,11.59,15.93
01-02-2022 17:30:00,12.76,18.25
01-02-2022 17:00:00,10.37,14.36
01-02-2022 16:30:00,12.26,20.29
01-02-2022 16:00:00,7.88,13.1
01-02-2022 15:30:00,10.37,17.16
01-02-2022 15:00:00,9.03,16.03
01-02-2022 14:30:00,10.02,18.34
01-02-2022 14:00:00,10.16,16.87
01-02-2022 13:30:00,6.73,9.73
01-02-2022 13:00:00,10.67,15.78
01-02-2022 12:30:00,10.46,15.51
01-02-2022 12:00:00,37.71,72.98
01-02-2022 11:30:00,36.53,77.84
01-02-2022 11:00:00,36.39,73.86
01-02-2022 10:30:00,39.67,79.75
01-02-2022 10:00:00,43.41,95.51
01-02-2022 09:30:00,62.83,115.97
01-02-2022 09:00:00,50.43,97.25
01-02-2022 08:30:00,79.94,149.37
01-02-2022 08:00:00,74.45,133.53
01-02-2022 07:30:00,34.85,53.76
01-02-2022 07:00:00,11.48,17.5
01-02-2022 06:30:00,21.36,32.65
01-02-2022 06:00:00,10.71,15.49
01-02-2022 05:30:00,6.54,8.64
01-02-2022 04:30:00,2.73,3.16
01-02-2022 04:00:00,2.52,2.07
01-02-2022 03:30:00,2.39,3.17
01-02-2022 03:00:00,2.12,3.17
01-02-2022 02:30:00,2.24,3.12
01-02-2022 02:00:00,4.11,5.55
01-02-2022 01:30:00,4.67,5.03
01-02-2022 01:00:00,3.71,4.53
01-02-2022 00:30:00,19.53,44.26
01-02-2022 00:00:00,4.61,5.09
31-01-2022 23:30:00,3.86,4.34
31-01-2022 23:00:00,4.97,6.66
31-01-2022 22:30:00,6.79,9.52
31-01-2022 22:00:00,10.21,14.67
31-01-2022 21:30:00,14.42,21.92
31-01-2022 21:00:00,14.57,19.6
31-01-2022 20:30:00,9.87,12.91
31-01-2022 20:00:00,11.72,15.93
31-01-2022 19:30:00,14.17,19.16
31-01-2022 19:00:00,18.95,25.15
31-01-2022 18:30:00,27.0,37.83
31-01-2022 18:00:00,20.14,25.34
31-01-2022 17:30:00,31.77,48.65
31-01-2022 17:00:00,42.44,67.15
31-01-2022 16:30:00,52.27,80.31
31-01-2022 16:00:00,38.75,70.44
31-01-2022 15:30:00,58.52,90.92
31-01-2022 15:00:00,55.94,101.76
31-01-2022 14:30:00,42.65,82.45
31-01-2022 14:00:00,83.37,195.57
31-01-2022 13:30:00,60.76,134.26
31-01-2022 13:00:00,86.39,208.52
