station_id,Recorded,NO2,NOx
Oesterbro,2022-01-19 17:00:00,2.68,2.68
Oesterbro,2022-01-19 17:30:00,2.89,3.1
Vesterbro,2022-01-19 17:30:00,8.09,13.16
Oesterbro,2022-01-19 18:00:00,2.62,2.95
Vesterbro,2022-01-19 18:00:00,6.02,10.63
Vesterbro,2022-01-19 18:30:00,6.08,11.25
Oesterbro,2022-01-19 18:30:00,2.28,2.75
Oesterbro,2022-01-19 19:00:00,2.01,2.16
Vesterbro,2022-01-19 19:00:00,5.51,9.6
Vesterbro,2022-01-19 19:30:00,5.3,8.89
Oesterbro,2022-01-19 19:30:00,1.74,2.05
Vesterbro,2022-01-19 20:00:00,3.6,6.39
Oesterbro,2022-01-19 20:00:00,1.66,1.68
Vesterbro,2022-01-19 20:30:00,2.6,4.97
Oesterbro,2022-01-19 20:30:00,1.66,1.76
Vesterbro,2022-01-19 21:00:00,2.87,5.89
Oesterbro,2022-01-19 21:00:00,1.45,1.4
Vesterbro,2022-01-19 21:30:00,3.6,6.71
Oesterbro,2022-01-19 21:30:00,1.07,1.3
Vesterbro,2022-01-19 22:00:00,3.52,6.23
Oesterbro,2022-01-19 22:00:00,1.49,1.3
Oesterbro,2022-01-19 22:30:00,0.9,0.94
Vesterbro,2022-01-19 22:30:00,2.49,4.69
Oesterbro,2022-01-19 23:00:00,0.57,0.59
Vesterbro,2022-01-19 23:00:00,2.39,4.55
Vesterbro,2022-01-19 23:30:00,1.84,3.23
Oesterbro,2022-01-19 23:30:00,0.67,0.5
Vesterbro,2022-01-20 00:00:00,0.99,2.6
Oesterbro,2022-01-20 00:00:00,0.57,0.29
Vesterbro,2022-01-20 00:30:00,1.43,3.12
Oesterbro,2022-01-20 00:30:00,0.44,0.25
Vesterbro,2022-01-20 01:00:00,0.94,1.84
Oesterbro,2022-01-20 01:00:00,0.36,0.11
Vesterbro,2022-01-20 01:30:00,1.28,2.58
Oesterbro,2022-01-20 01:30:00,0.27,0.21
Oesterbro,2022-01-20 02:00:00,0.5,0.69
Vesterbro,2022-01-20 02:00:00,0.94,1.87
Vesterbro,2022-01-20 02:30:00,1.05,2.95
Oesterbro,2022-01-20 02:30:00,0.55,0.34
Vesterbro,2022-01-20 03:00:00,0.73,2.22
Oesterbro,2022-01-20 03:00:00,0.08,0.27
Oesterbro,2022-01-20 03:30:00,0.5,0.34
Vesterbro,2022-01-20 03:30:00,2.14,4.25
Vesterbro,2022-01-20 04:00:00,1.3,2.54
Oesterbro,2022-01-20 04:30:00,1.09,1.09
Vesterbro,2022-01-20 04:30:00,1.13,1.59
Oesterbro,2022-01-20 05:00:00,1.15,1.34
Vesterbro,2022-01-20 05:30:00,3.29,5.53
Oesterbro,2022-01-20 05:30:00,1.24,1.22
Oesterbro,2022-01-20 06:00:00,1.68,2.07
Vesterbro,2022-01-20 06:00:00,5.36,9.45
Oesterbro,2022-01-20 06:30:00,2.72,3.23
Vesterbro,2022-01-20 06:30:00,8.57,13.66
Vesterbro,2022-01-20 07:00:00,10.16,17.71
Oesterbro,2022-01-20 07:00:00,3.56,4.02
Oesterbro,2022-01-20 07:30:00,5.51,6.43
Vesterbro,2022-01-20 07:30:00,11.32,21.13
Vesterbro,2022-01-20 08:00:00,10.16,17.77
Oesterbro,2022-01-20 08:00:00,4.15,5.07
Vesterbro,2022-01-20 08:30:00,11.63,19.47
Oesterbro,2022-01-20 08:30:00,3.67,3.96
Vesterbro,2022-01-20 09:00:00,11.13,18.36
Oesterbro,2022-01-20 09:00:00,3.77,4.04
Oesterbro,2022-01-20 09:30:00,3.69,4.4
Vesterbro,2022-01-20 09:30:00,10.14,17.6
Oesterbro,2022-01-20 10:00:00,3.02,3.84
Vesterbro,2022-01-20 10:00:00,11.4,19.55
Oesterbro,2022-01-20 10:30:00,3.27,3.9
Vesterbro,2022-01-20 10:30:00,9.91,19.89
Vesterbro,2022-01-20 11:00:00,13.98,27.58
Oesterbro,2022-01-20 11:00:00,3.16,4.13
Vesterbro,2022-01-20 11:30:00,11.21,22.07
