station_id,Recorded,NO2,NOx
Oesterbro,2020-01-18 09:30:00,73.19,6.26
Oesterbro,2020-01-18 10:00:00,73.76,5.68
Vesterbro,2020-01-18 10:00:00,5.03,6.78
Oesterbro,2020-01-18 10:30:00,74.71,5.41
Vesterbro,2020-01-18 10:30:00,6.33,9.64
Oesterbro,2020-01-18 11:00:00,75.14,5.1
Vesterbro,2020-01-18 11:00:00,5.15,8.48
Oesterbro,2020-01-18 11:30:00,75.01,5.06
Vesterbro,2020-01-18 11:30:00,7.19,11.92
Vesterbro,2020-01-18 12:00:00,5.67,9.89
Oesterbro,2020-01-18 12:00:00,75.46,4.55
Vesterbro,2020-01-18 12:30:00,4.97,8.83
Oesterbro,2020-01-18 12:30:00,75.42,4.53
Oesterbro,2020-01-18 13:00:00,75.21,4.64
Vesterbro,2020-01-18 13:00:00,4.75,9.21
Vesterbro,2020-01-18 13:30:00,6.38,11.48
Oesterbro,2020-01-18 13:30:00,74.89,4.11
Vesterbro,2020-01-18 14:00:00,5.67,8.55
Oesterbro,2020-01-18 14:00:00,73.68,4.81
Vesterbro,2020-01-18 14:30:00,4.68,7.8
Oesterbro,2020-01-18 14:30:00,73.33,4.22
Oesterbro,2020-01-18 15:00:00,73.44,4.26
Vesterbro,2020-01-18 15:00:00,5.53,8.42
Vesterbro,2020-01-18 15:30:00,6.39,9.86
Oesterbro,2020-01-18 15:30:00,75.4,3.4
Vesterbro,2020-01-18 16:00:00,6.93,10.39
Oesterbro,2020-01-18 16:00:00,75.62,3.67
Vesterbro,2020-01-18 16:30:00,7.26,10.23
Oesterbro,2020-01-18 16:30:00,75.28,3.53
Oesterbro,2020-01-18 17:00:00,76.45,3.38
Vesterbro,2020-01-18 17:00:00,7.09,10.6
Vesterbro,2020-01-18 17:30:00,6.82,10.15
Oesterbro,2020-01-18 17:30:00,76.29,3.52
Vesterbro,2020-01-18 18:00:00,6.37,10.21
Oesterbro,2020-01-18 18:00:00,76.22,2.91
Vesterbro,2020-01-18 18:30:00,5.33,8.62
Oesterbro,2020-01-18 18:30:00,75.96,2.33
Oesterbro,2020-01-18 19:00:00,75.7,2.29
Vesterbro,2020-01-18 19:00:00,5.47,9.04
Vesterbro,2020-01-18 19:30:00,5.67,8.45
Oesterbro,2020-01-18 19:30:00,75.13,2.6
Vesterbro,2020-01-18 20:00:00,3.19,5.23
Oesterbro,2020-01-18 20:00:00,75.31,2.4
Vesterbro,2020-01-18 20:30:00,2.37,5.54
Oesterbro,2020-01-18 20:30:00,76.04,1.85
Oesterbro,2020-01-18 21:00:00,74.65,2.27
Vesterbro,2020-01-18 21:00:00,2.84,5.69
