Recorded;NO2;NOx;O3
08-05-2020 01:30:00;1.77;1.82;82.07
08-05-2020 00:30:00;2.35;2.13;83.7
08-05-2020 00:00:00;2.42;2.42;85.19
07-05-2020 23:30:00;2.77;3.01;86.7
07-05-2020 23:00:00;2.63;2.88;87.37
07-05-2020 22:30:00;2.29;2.42;89.1
07-05-2020 22:00:00;2.61;2.73;90.88
07-05-2020 21:30:00;2.94;3.24;94.04
07-05-2020 21:00:00;3.32;3.71;98.19
07-05-2020 20:30:00;2.98;3.3;99.46
07-05-2020 20:00:00;2.86;2.84;101.46
07-05-2020 19:30:00;3.79;4.17;99.28
07-05-2020 19:00:00;3.96;4.19;95.98
07-05-2020 18:30:00;3.15;3.84;93.46
07-05-2020 18:00:00;3.52;3.53;89.81
07-05-2020 17:30:00;2.63;3.13;88.52
07-05-2020 17:00:00;3.57;4.25;84.77
07-05-2020 16:30:00;3.92;4.9;83.7
07-05-2020 16:00:00;5.01;6.82;81.97
07-05-2020 15:30:00;3.53;4.53;83.84
07-05-2020 15:00:00;6.3;7.84;80.31
07-05-2020 14:30:00;4.92;6.71;80.01
07-05-2020 14:00:00;4.74;5.96;85.96
07-05-2020 13:30:00;4.28;5.59;88.38
07-05-2020 13:00:00;4.84;6.46;86.89
07-05-2020 12:30:00;4.11;5.57;88.3
07-05-2020 12:00:00;4.16;5.55;88.48
07-05-2020 11:30:00;3.95;5.15;88.96
07-05-2020 11:00:00;3.36;4.02;87.77
07-05-2020 10:30:00;3.67;4.81;84.97
07-05-2020 10:00:00;3.21;4.23;83.76
07-05-2020 09:30:00;3.78;5.02;80.37
07-05-2020 09:00:00;5.82;7.94;
07-05-2020 08:30:00;5.95;7.48;
07-05-2020 08:00:00;6.28;8.07;
07-05-2020 07:30:00;10.0;12.76;
07-05-2020 07:00:00;10.66;13.86;63.46
07-05-2020 06:30:00;13.08;16.4;64.17
07-05-2020 05:30:00;15.06;17.4;56.81
07-05-2020 05:00:00;10.09;10.73;63.08
07-05-2020 04:30:00;6.98;7.27;66.77
07-05-2020 04:00:00;4.96;5.08;70.56
07-05-2020 03:30:00;4.42;4.46;72.49
07-05-2020 03:00:00;4.55;4.5;
07-05-2020 02:30:00;4.57;4.54;70.66
07-05-2020 02:00:00;6.61;6.69;67.7
07-05-2020 01:30:00;5.75;5.69;71.12
07-05-2020 01:00:00;3.5;3.54;76.39
07-05-2020 00:30:00;3.38;3.37;77.56
07-05-2020 00:00:00;3.09;3.14;79.51
06-05-2020 23:30:00;3.03;3.12;81.04
06-05-2020 23:00:00;2.48;2.24;83.22
06-05-2020 22:30:00;2.02;1.89;85.6
06-05-2020 22:00:00;2.46;2.25;85.64
06-05-2020 21:30:00;2.34;2.47;86.97
06-05-2020 21:00:00;2.69;2.75;87.86
06-05-2020 20:30:00;2.71;2.49;88.85
06-05-2020 20:00:00;2.96;3.0;89.17
06-05-2020 19:30:00;2.9;3.06;89.05
06-05-2020 19:00:00;2.51;2.74;89.59
06-05-2020 18:30:00;2.42;2.74;90.08
06-05-2020 18:00:00;2.55;3.53;90.68
06-05-2020 17:30:00;2.71;3.51;90.18
06-05-2020 17:00:00;2.28;2.51;89.73
06-05-2020 16:30:00;3.09;3.58;89.86
06-05-2020 16:00:00;2.78;3.54;89.35
06-05-2020 15:30:00;2.53;3.03;88.97
06-05-2020 15:00:00;3.68;4.76;87.82
06-05-2020 14:30:00;3.97;5.33;87.22
06-05-2020 14:00:00;3.68;4.54;86.47
06-05-2020 13:30:00;2.78;3.79;87.05
06-05-2020 13:00:00;3.78;4.87;85.64
06-05-2020 12:30:00;3.69;4.78;85.36
06-05-2020 12:00:00;3.49;4.6;86.77
06-05-2020 11:30:00;3.64;4.89;86.67
06-05-2020 11:00:00;3.51;4.78;88.02
06-05-2020 10:30:00;4.3;5.91;86.79
06-05-2020 10:00:00;4.37;6.12;84.66
06-05-2020 09:30:00;5.49;7.87;82.72
06-05-2020 09:00:00;5.68;8.14;82.28
06-05-2020 08:30:00;4.72;6.43;81.8
06-05-2020 08:00:00;4.01;5.18;82.38
06-05-2020 07:30:00;3.91;4.99;82.92
06-05-2020 07:00:00;5.03;6.47;81.86
06-05-2020 06:30:00;5.76;7.33;80.24
06-05-2020 06:00:00;6.72;8.07;78.79
06-05-2020 05:30:00;5.72;6.1;80.81
06-05-2020 04:30:00;5.34;5.28;79.3
06-05-2020 04:00:00;4.2;4.11;81.31
06-05-2020 03:30:00;2.22;2.15;85.04
06-05-2020 03:00:00;2.4;2.67;85.55
06-05-2020 02:30:00;1.8;2.01;86.74
06-05-2020 02:00:00;2.4;2.7;
06-05-2020 01:30:00;2.61;2.69;80.47
06-05-2020 01:00:00;2.96;3.07;78.21
06-05-2020 00:30:00;2.57;2.59;78.98
06-05-2020 00:00:00;2.17;2.3;82.04
05-05-2020 23:30:00;2.7;2.92;79.94
05-05-2020 23:00:00;3.97;4.2;74.72
05-05-2020 22:30:00;4.57;4.68;76.32
05-05-2020 22:00:00;4.43;4.49;76.32
05-05-2020 21:30:00;4.69;4.82;75.77
05-05-2020 21:00:00;4.3;4.28;75.75
05-05-2020 20:30:00;3.57;3.65;76.17
05-05-2020 20:00:00;3.41;3.84;77.37
05-05-2020 19:30:00;3.09;3.36;78.03
05-05-2020 19:00:00;3.47;3.51;80.91
05-05-2020 18:30:00;4.59;4.84;82.79
05-05-2020 18:00:00;3.91;4.15;82.29
05-05-2020 17:30:00;4.2;5.22;81.08
05-05-2020 17:00:00;3.16;3.42;84.14
05-05-2020 16:30:00;3.38;4.28;82.73
05-05-2020 16:00:00;2.97;3.84;83.74
05-05-2020 15:30:00;2.41;3.0;84.16
05-05-2020 15:00:00;3.89;5.19;82.31
05-05-2020 14:30:00;3.57;4.71;81.58
05-05-2020 14:00:00;4.39;5.8;80.37
05-05-2020 13:30:00;5.12;6.73;77.85
05-05-2020 13:00:00;4.08;5.3;79.57
05-05-2020 12:30:00;2.93;4.0;80.43
05-05-2020 12:00:00;3.79;5.03;79.4
05-05-2020 11:30:00;2.63;3.23;80.63
05-05-2020 11:00:00;3.47;4.5;80.09
